unique_id,loan_defaulted
38547,False
38548,True
38549,False
38550,False
38551,True
38552,False
38553,False
38554,False
38555,False
38556,False
38557,True
38558,True
38559,False
38560,False
38561,False
38562,False
38563,False
38564,False
38565,False
38566,True
38567,False
38568,True
38569,True
38570,False
38571,False
38572,False
38573,False
38574,False
38575,False
38576,True
38577,True
38578,False
38579,False
38580,False
38581,True
38582,True
38583,True
38584,False
38585,False
38586,True
38587,False
38588,False
38589,False
38590,False
38591,True
38592,False
38593,False
38594,True
38595,False
38596,True
38597,True
38598,False
38599,False
38600,False
38601,False
38602,True
38603,True
38604,False
38605,False
38606,False
38607,True
38608,True
38609,True
38610,True
38611,False
38612,True
38613,False
38614,False
38615,False
38616,False
38617,False
38618,False
38619,False
38620,False
38621,False
38622,False
38623,True
38624,False
38625,True
38626,False
38627,True
38628,False
38629,True
38630,False
38631,False
38632,True
38633,False
38634,False
38635,False
38636,True
38637,True
38638,False
38639,False
38640,True
38641,False
38642,False
38643,False
38644,False
38645,True
38646,True
38647,True
38648,False
38649,False
38650,False
38651,False
38652,True
38653,False
38654,False
38655,False
38656,False
38657,False
38658,False
38659,True
38660,False
38661,False
38662,False
38663,False
38664,False
38665,False
38666,False
38667,False
38668,False
38669,False
38670,True
38671,True
38672,True
38673,False
38674,False
38675,False
38676,False
38677,True
38678,True
38679,True
38680,False
38681,True
38682,False
38683,False
38684,False
38685,False
38686,True
38687,False
38688,False
38689,False
38690,True
38691,False
38692,True
38693,False
38694,True
38695,False
38696,False
38697,False
38698,False
38699,True
38700,False
38701,False
38702,False
38703,False
38704,False
38705,False
38706,False
38707,False
38708,True
38709,False
38710,True
38711,False
38712,False
38713,True
38714,False
38715,False
38716,True
38717,False
38718,True
38719,False
38720,True
38721,False
38722,True
38723,True
38724,False
38725,False
38726,False
38727,False
38728,False
38729,False
38730,False
38731,False
38732,False
38733,False
38734,True
38735,False
38736,False
38737,True
38738,False
38739,False
38740,True
38741,False
38742,False
38743,False
38744,False
38745,True
38746,False
38747,False
38748,False
38749,False
38750,False
38751,False
38752,True
38753,False
38754,False
38755,False
38756,False
38757,False
38758,False
38759,False
38760,True
38761,True
38762,False
38763,True
38764,True
38765,False
38766,False
38767,True
38768,True
38769,False
38770,False
38771,True
38772,True
38773,False
38774,False
38775,False
38776,False
38777,True
38778,True
38779,False
38780,False
38781,False
38782,False
38783,False
38784,False
38785,True
38786,False
38787,False
38788,False
38789,True
38790,True
38791,False
38792,False
38793,False
38794,False
38795,False
38796,True
38797,True
38798,False
38799,False
38800,False
38801,False
